company,title,season,season_inferred,seasons,program,remote,category,location,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
Micron Technology,Intern - Process Quality Engineering,Not stated,True,,Internship,,Manufacturing & Quality,"Boise, ID - ID1",unknown,489,,,2026-08-27T00:00:00Z,date_only,2026-08-27T22:31:50Z,https://micron.wd1.myworkdayjobs.com/External/job/Boise-ID---ID1/Intern---Process-Quality-Engineering_JR109159
Talentpluto,Design Engineering Intern,Not stated,True,,Internship,yes,Mechanical Design,United States (Remote),unknown,,$35–$50/hr,TypeScript; React; Next.js,2026-08-26T00:00:00.000Z,date_only,2026-08-28T11:38:04Z,https://apply.workable.com/talentpluto/j/957E9F890B/
Brunswick,Mercury Marine: Manufacturing/Industrial Engineering Co-op,Not stated,True,,Co-op,,Manufacturing & Quality,"Fond du Lac, WI",unknown,54,$18–$27.5/hr,,2026-08-26T00:00:00Z,date_only,2026-08-26T20:17:25Z,https://brunswick.wd1.myworkdayjobs.com/search/job/Fond-du-Lac-WI/Mercury-Marine--Manufacturing-Industrial-Engineering-Co-op_JR-051389
Brunswick,Mercury Marine: Materials Engineering Co-op,Not stated,True,,Co-op,,Materials Engineering,"Fond du Lac, WI",unknown,54,$18–$27.5/hr,,2026-08-26T00:00:00Z,date_only,2026-08-26T20:17:25Z,https://brunswick.wd1.myworkdayjobs.com/search/job/Fond-du-Lac-WI/Mercury-Marine--Materials-Engineering-Co-op_JR-051138
Brunswick,Mercury Marine: Mechanical Engineering Intern,Summer 2027,False,,Internship,,Mechanical Design,"Fond du Lac, WI",unknown,54,$18–$27.5/hr,Creo; CAD,2026-08-26T00:00:00Z,date_only,2026-08-26T20:17:25Z,https://brunswick.wd1.myworkdayjobs.com/search/job/Fond-du-Lac-WI/Mercury-Marine--Mechanical-Engineering-Intern_JR-051390
Brunswick,Mercury Marine: Quality Engineering Co-op,Not stated,True,,Co-op,,Manufacturing & Quality,"Fond du Lac, WI",unknown,54,$18–$27.5/hr,,2026-08-26T00:00:00Z,date_only,2026-08-26T20:17:25Z,https://brunswick.wd1.myworkdayjobs.com/search/job/Fond-du-Lac-WI/Mercury-Marine--Quality-Engineering-Co-op_JR-051391
Chamberlain Group,Manufacturing Process Documentation Intern (Summer 2027),Summer 2027,False,,Internship,,Manufacturing & Quality,"Malvern, AR",unknown,33,,,2026-08-26T00:00:00Z,date_only,2026-08-26T20:17:25Z,https://chamberlain.wd1.myworkdayjobs.com/Chamberlain_Group/job/Malvern-AR/Manufacturing-Process-Documentation-Intern--Summer-2027-_JR31463
IMEG,"Mechanical Engineering Intern | Columbus, OH",Summer 2027,False,,Internship,,Mechanical Design,"Columbus, OH",unknown,10,$22/hr,AutoCAD,2026-08-26T00:00:00Z,date_only,2026-08-27T10:05:15Z,https://wd1.myworkdaysite.com/recruiting/imeg/Imeg_Careers/job/Columbus-OH/Mechanical-Engineering-Intern---Columbus--OH_R-16523
Northrop Grumman,2026 Part-Time Mechanical Engineering Intern - Chandler AZ,Fall 2026,False,,Internship,,Mechanical Design,United States-Arizona-Chandler,citizens-only,,$17.75–$32.75/hr,,2026-08-26T00:00:00Z,date_only,2026-08-27T10:05:15Z,https://ngc.wd1.myworkdayjobs.com/Northrop_Grumman_External_Site/job/United-States-Arizona-Chandler/XMLNAME-2026-Part-Time-Mechanical-Engineering-Intern---Chandler-AZ_R10247965
Amcor,Product Development Engineering Intern,Not stated,True,,Internship,,Mechanical Design,RPSNA Lawrence KS,unknown,5,,,2026-08-25T00:00:00Z,date_only,2026-08-25T19:10:57Z,https://amcor.wd5.myworkdayjobs.com/amcor_external_career_site/job/RPSNA-Lawrence-KS/Product-Development-Engineering-Intern_REQ_95108
Brunswick,Mercury Marine - Heat Treat Metallurgical Engineer Co-op,Not stated,True,,Co-op,,Materials Engineering,"Fond du Lac, WI",unknown,54,$18–$27.5/hr,,2026-08-25T00:00:00Z,date_only,2026-08-26T02:09:17Z,https://brunswick.wd1.myworkdayjobs.com/search/job/Fond-du-Lac-WI/Mercury-Marine---Heat-Treat-Metallurgical-Engineer-Co-op_JR-051013
Brunswick,Mercury Marine: Advanced Manufacturing/Operations Analytics Engineering Co-op,Summer 2027,False,,Co-op,,Manufacturing & Quality,"Fond du Lac, WI",unknown,54,$18–$27.5/hr,SQL; CAD; Six Sigma; Azure,2026-08-25T00:00:00Z,date_only,2026-08-25T19:10:57Z,https://brunswick.wd1.myworkdayjobs.com/search/job/Fond-du-Lac-WI/Mercury-Marine--Advanced-Manufacturing-Operations-Analytics-Engineering-Co-op_JR-051238
Brunswick,Mercury Marine: Materials Engineering Intern,Not stated,True,,Internship,,Materials Engineering,"Fond du Lac, WI",unknown,54,$18–$27.5/hr,,2026-08-25T00:00:00Z,date_only,2026-08-26T02:09:17Z,https://brunswick.wd1.myworkdayjobs.com/search/job/Fond-du-Lac-WI/Mercury-Marine--Materials-Engineering-Intern_JR-051117
